DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de residência e Ano 1º Sintoma(s)
Período:2014-2022
"UF de residência";"Em Branco/ign";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rondônia";1;23;1;2;2;3;-;3;-;2;3;2;1;-;1;1;1;-;2;2;1;-;1;2;-;3;-;-;1;2;-;-;-;-;-;1;2;4;1;3;56;1980;2315;7870;2123;547;1016;3919;2320;14280;36497
"12 Acre";-;39;1;-;1;1;2;-;-;5;1;3;-;3;6;3;3;3;4;4;2;5;-;2;4;3;2;5;4;2;2;3;-;3;3;6;1;-;2;4;38;28279;5625;2203;1908;7358;10246;7478;14961;3598;81826
"13 Amazonas";-;14;-;-;1;1;1;1;1;3;1;1;2;-;2;-;1;3;1;3;1;-;2;2;1;1;2;-;3;1;-;1;-;2;1;2;-;2;1;1;69;6714;3905;7525;3914;2376;4185;5874;8326;5389;48336
"14 Roraima";1;3;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;12;1135;1103;211;286;114;1624;468;116;62;5142
"15 Pará";-;46;3;4;3;2;3;8;6;5;6;4;5;4;2;2;5;6;6;4;4;7;4;2;6;3;5;4;7;7;2;2;4;2;2;5;-;9;6;5;78;4519;7979;10817;7849;3788;5460;3509;5137;6608;55954
"16 Amapá";-;13;-;-;-;1;1;2;-;1;1;1;2;1;1;-;2;2;1;2;1;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;2;1;9;2239;3336;1831;902;756;185;60;281;262;9901
"17 Tocantins";-;40;1;2;4;3;2;4;6;-;5;5;3;-;2;3;3;4;4;1;2;2;4;4;5;-;1;2;5;4;3;3;3;3;1;2;3;4;3;2;99;3610;7989;7815;4876;3041;13542;1888;9563;21024;73595
"21 Maranhão";-;64;4;4;5;6;4;9;5;4;7;2;8;6;1;6;7;3;8;5;6;5;2;5;8;8;6;5;6;7;6;4;4;15;7;3;1;9;12;9;31;2689;8159;23718;7166;2149;5682;2554;1369;7301;61104
"22 Piauí";-;26;-;1;-;2;1;2;2;7;2;2;2;3;2;1;4;2;5;4;4;2;7;4;4;2;2;3;7;1;1;3;4;3;2;1;8;-;6;2;30;7664;7698;5203;5267;1929;7987;2207;3997;31770;73886
"23 Ceará";3;122;8;9;7;10;5;5;15;14;8;5;7;15;11;12;20;19;11;13;12;4;21;13;14;14;7;11;17;7;5;4;7;20;9;11;7;18;22;8;197;22849;63436;49612;39150;4152;16288;24034;35451;42811;298530
"24 Rio Grande do Norte";6;154;13;8;8;6;6;10;10;12;9;12;8;14;8;15;12;7;3;10;11;15;10;4;14;11;5;7;10;3;11;3;8;8;5;5;2;22;11;11;78;11537;22969;56762;7446;23636;31807;6855;3842;42109;207548
"25 Paraíba";1;109;4;9;6;8;6;5;4;5;8;4;6;12;5;10;2;7;8;5;10;6;3;13;9;8;4;4;13;11;7;8;6;13;11;5;10;23;14;4;69;5685;23387;35735;3991;10863;19026;6646;16097;29432;151337
"26 Pernambuco";6;167;11;8;11;21;10;9;11;18;11;10;8;19;17;12;20;7;9;13;16;14;15;24;16;7;12;10;15;13;7;14;17;10;8;14;11;20;30;25;116;10671;112805;60764;7877;11257;37931;20002;36440;17418;315977
"27 Alagoas";3;97;6;8;6;14;4;7;8;8;6;5;7;8;4;5;8;4;7;4;3;4;5;9;10;9;6;9;8;10;4;6;11;4;4;5;2;10;12;9;195;13218;28350;18201;2929;2247;21035;2310;7618;33328;129790
"28 Sergipe";1;25;-;-;-;1;1;2;1;1;2;1;1;3;1;1;1;1;-;2;2;1;-;3;4;2;-;1;3;1;1;-;2;4;1;1;1;1;3;3;13;2285;9300;3401;593;234;5974;1842;764;5410;29895
"29 Bahia";-;362;18;19;20;19;17;24;26;30;25;28;27;27;15;15;26;30;21;25;31;32;30;18;33;29;28;12;31;25;20;29;22;18;20;15;29;70;39;33;147;13892;56254;66787;9836;9846;67923;82815;25092;36210;370140
"31 Minas Gerais";14;746;50;37;37;35;46;43;51;42;56;50;38;57;50;54;56;44;55;55;62;53;64;73;41;71;51;45;74;57;34;28;29;51;33;24;31;147;67;46;491;58336;195850;525682;26175;30296;477200;81675;22284;91335;1512021
"32 Espírito Santo";3;80;6;4;2;4;1;1;3;2;8;6;5;2;3;2;4;3;2;6;10;4;4;5;10;4;3;5;6;2;2;3;4;3;5;4;6;8;10;6;434;18860;36470;42295;6825;10609;64635;7106;32;65;187582
"33 Rio de Janeiro";2;254;13;10;8;14;17;16;18;18;18;14;9;16;10;14;20;9;19;20;17;20;17;16;18;7;8;12;10;12;8;11;8;17;9;7;8;27;16;12;313;7771;75404;86283;10921;15026;32117;4390;2848;11314;247166
"35 São Paulo";15;948;39;46;34;51;42;60;44;54;52;47;46;53;45;52;49;48;46;47;43;60;53;46;54;38;28;30;73;32;41;38;63;35;19;23;38;96;77;54;440;228162;749603;200133;9409;19681;443596;204441;157891;351100;2367215
"41 Paraná";2;215;4;15;7;12;11;8;11;9;8;10;15;8;11;14;10;5;6;16;12;17;4;13;14;20;7;11;12;20;14;14;9;9;9;3;8;20;12;13;158;22705;45922;62266;2199;1431;46445;262468;34755;161484;640471
"42 Santa Catarina";-;11;1;1;-;2;1;-;1;1;1;-;-;1;-;1;-;-;1;1;2;-;-;-;1;1;1;-;1;1;-;-;-;-;1;1;1;5;1;-;3;141;4464;5061;179;189;2111;11798;19508;85476;128969
"43 Rio Grande do Sul";1;7;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;2;-;-;2;158;1722;3162;180;136;1674;3988;10877;68754;90672
"50 Mato Grosso do Sul";-;113;10;5;6;9;8;7;10;4;11;6;8;8;13;10;8;6;8;9;10;11;11;11;8;11;10;10;11;16;7;6;11;12;7;5;9;26;16;7;67;3422;32888;46307;2398;5675;65565;51851;9940;26605;245192
"51 Mato Grosso";3;95;4;8;-;2;3;6;9;8;7;9;6;6;8;6;4;7;5;8;5;4;8;10;5;3;2;9;8;4;4;3;9;9;4;3;8;17;10;7;173;7162;22591;20505;9354;7303;11419;34669;22362;35457;171331
"52 Goiás";5;601;36;42;49;43;38;38;49;44;43;46;43;63;44;35;61;43;38;52;42;54;37;54;58;49;39;38;51;30;19;21;32;21;18;24;27;89;56;49;1003;94064;169353;129821;64130;92064;120195;62527;63687;210541;1009606
"53 Distrito Federal";-;106;5;9;4;6;9;8;4;12;4;10;6;5;7;4;9;4;5;8;5;11;7;7;6;9;6;2;6;5;5;5;7;9;7;7;10;16;5;5;446;11752;10180;17818;3978;2561;38603;47099;16326;70121;219249
"00 Ignorado/exterior";133;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;15;42;76;4;11;33;29;51;149;545
"Total";200;4480;238;251;221;278;239;278;295;309;304;283;263;336;269;278;337;268;275;319;314;333;310;341;343;313;236;236;382;274;204;209;260;275;186;177;223;647;434;319;4769;591514;1709099;1497864;241865;269275;1553504;944502;531935;1409413;8769477
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 30/01/2023, sujeitos a revisão.
 * Dados disponibilizados no TABNET em maio de 2023
 
