UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
São Paulo,ADAMANTINA,0.79,0.75,0.852,0.772,Médio Desenvolvimento Humano
São Paulo,ADOLFO,0.73,0.648,0.844,0.71,Médio Desenvolvimento Humano
São Paulo,AGUAÍ,0.715,0.606,0.858,0.703,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DA PRATA,0.781,0.716,0.886,0.75,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DE LINDÓIA,0.745,0.675,0.846,0.725,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DE SANTA BÁRBARA,0.757,0.695,0.84,0.744,Médio Desenvolvimento Humano
São Paulo,ÁGUAS DE SÃO PEDRO,0.854,0.825,0.89,0.849,Alto Desenvolvimento Humano
São Paulo,AGUDOS,0.745,0.694,0.845,0.705,Médio Desenvolvimento Humano
São Paulo,ALAMBARI,0.712,0.658,0.805,0.682,Médio Desenvolvimento Humano
São Paulo,ALFREDO MARCONDES,0.741,0.71,0.84,0.682,Médio Desenvolvimento Humano
São Paulo,ALTAIR,0.687,0.581,0.8,0.698,Médio Desenvolvimento Humano
São Paulo,ALTINÓPOLIS,0.73,0.635,0.843,0.726,Médio Desenvolvimento Humano
São Paulo,ALTO ALEGRE,0.7,0.616,0.817,0.683,Médio Desenvolvimento Humano
São Paulo,ALUMÍNIO,0.766,0.732,0.841,0.729,Médio Desenvolvimento Humano
São Paulo,ÁLVARES FLORENCE,0.728,0.683,0.806,0.701,Médio Desenvolvimento Humano
São Paulo,ÁLVARES MACHADO,0.758,0.732,0.834,0.712,Médio Desenvolvimento Humano
São Paulo,ÁLVARO DE CARVALHO,0.688,0.605,0.805,0.669,Médio Desenvolvimento Humano
São Paulo,ALVINLÂNDIA,0.722,0.659,0.791,0.721,Médio Desenvolvimento Humano
São Paulo,AMERICANA,0.811,0.76,0.876,0.8,Alto Desenvolvimento Humano
São Paulo,AMÉRICO BRASILIENSE,0.751,0.701,0.852,0.709,Médio Desenvolvimento Humano
São Paulo,AMÉRICO DE CAMPOS,0.745,0.708,0.817,0.715,Médio Desenvolvimento Humano
São Paulo,AMPARO,0.785,0.711,0.871,0.78,Médio Desenvolvimento Humano
São Paulo,ANALÂNDIA,0.754,0.668,0.861,0.745,Médio Desenvolvimento Humano
São Paulo,ANDRADINA,0.779,0.702,0.885,0.762,Médio Desenvolvimento Humano
São Paulo,ANGATUBA,0.719,0.648,0.827,0.693,Médio Desenvolvimento Humano
