Devedor,TaxaDesemprego,MensalidadesEmDia,Bolsista,UnidadesCurriculares1SemestreAprovado,UnidadesCurriculares1SemestreAvaliacoes,UnidadesCurriculares2SemestreAvaliacoes,UnidadesCurriculares1SemestreGrau,UnidadesCurriculares2SemestreGrau
0,10.8,1,0,0,0,0,0.0,0.0
0,10.8,0,0,0,0,0,0.0,0.0
0,15.5,0,0,0,5,5,0.0,0.0
1,8.9,0,0,5,9,14,11.4,13.5
0,12.7,1,0,0,6,0,0.0,0.0
0,15.5,1,0,5,6,7,13.2,0.0
1,8.9,0,0,0,7,7,0.0,10.0
0,7.6,1,0,0,0,0,0.0,0.0
0,16.2,1,0,1,10,8,10.0,12.0
1,12.4,0,0,3,13,11,1.16666666666666e+16,12.0
1,12.7,1,0,4,6,5,12.75,0.0
0,12.4,0,0,4,7,7,13.0,13.8
0,16.2,1,0,0,0,0,0.0,0.0
0,9.4,1,0,5,12,10,10.6,11.0
0,12.4,1,0,0,10,6,0.0,0.0
0,12.4,1,0,5,9,13,13.0,12.9
0,13.9,1,0,5,10,10,11.9,11.0
1,16.2,1,0,5,8,10,11.2,10.75
0,15.5,1,0,0,0,0,0.0,0.0
0,12.4,1,0,3,12,12,1.16666666666666e+16,12.0
1,10.8,1,0,3,8,11,1.03333333333333e+16,1.08571428571428e+16
0,9.4,1,1,4,8,11,10.5,11.0
0,10.8,1,0,5,8,7,12.2,12.2
0,10.8,1,0,0,1,0,0.0,0.0
1,12.4,1,0,6,17,14,1.21666666666666e+16,13.3
0,13.9,1,0,0,18,7,0.0,0.0
0,8.9,1,0,2,7,6,12.0,0.0
0,7.6,1,0,3,12,14,1.26666666666666e+16,0.0
1,13.9,0,0,4,10,7,11.96,0.0
0,8.9,1,0,8,12,14,12875.0,13.4
0,9.4,1,0,0,0,0,0.0,0.0
0,11.1,1,0,0,0,0,0.0,0.0
0,16.2,1,0,0,0,0,0.0,0.0
0,15.5,1,0,4,15,17,14.2,13.25
0,12.4,1,0,6,9,10,1.32666666666666e+16,12.3
0,7.6,1,0,6,7,7,1.25166666666666e+16,1.25166666666666e+16
0,9.4,1,0,3,12,12,11.0,11.0
0,10.8,1,0,0,0,0,0.0,0.0
0,13.9,1,0,5,12,0,12.1,0.0
0,13.9,1,1,7,9,9,132375.0,1.37428571428571e+16
0,13.9,1,0,5,8,7,14.0,0.0
1,12.4,0,1,5,7,9,12.0,12.5
0,7.6,1,0,0,10,10,0.0,0.0
0,7.6,1,0,5,8,12,11.2,1.16666666666666e+16
0,9.4,1,0,3,10,12,1.26666666666666e+16,10.0
0,7.6,1,0,6,8,10,12.0,11.5
0,10.8,1,0,6,6,9,1.31666666666666e+16,13.0
0,10.8,1,0,4,13,10,11.5,11.0
0,16.2,1,0,3,13,12,12.0,1.13333333333333e+16
1,11.1,0,0,4,8,6,11.75,1.31666666666666e+16
0,7.6,1,0,4,8,8,11.95,11.95
0,9.4,1,0,5,8,12,12.4,10.4
0,16.2,1,0,6,8,10,14.35,1.45833333333333e+16
1,11.1,0,0,5,6,6,12.0,0.0
0,15.5,0,0,6,6,6,1.21666666666666e+16,0.0
0,11.1,1,0,0,0,0,0.0,0.0
1,10.8,0,0,3,9,9,10.0,1.05714285714285e+16
0,8.9,1,0,2,10,6,11.0,0.0
0,7.6,1,0,0,5,5,0.0,0.0
0,12.4,1,0,0,0,0,0.0,0.0
0,8.9,1,0,0,0,0,0.0,0.0
0,13.9,1,0,0,0,0,0.0,0.0
0,16.2,1,1,6,7,6,1.37142857142857e+16,12.8
0,16.2,1,1,0,7,8,0.0,0.0
0,9.4,1,0,1,11,6,10.0,0.0
0,8.9,1,1,1,16,13,10.0,0.0
0,7.6,1,0,0,10,9,0.0,13.5
0,9.4,1,0,4,9,13,11.25,12.5
0,7.6,1,0,0,5,5,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
0,16.2,1,0,3,12,12,12.0,15.0
0,9.4,0,0,4,14,10,13.5,14.25
1,16.2,0,0,3,11,14,11.75,1.03333333333333e+16
0,10.8,0,0,0,5,9,0.0,0.0
1,13.9,0,0,3,13,8,12.75,1.13333333333333e+16
0,8.9,1,1,6,6,6,15.0,1.28333333333333e+16
1,8.9,0,1,1,13,12,16.0,0.0
1,16.2,0,0,6,16,8,1.18333333333333e+16,13.0
0,12.7,1,0,0,0,0,0.0,0.0
1,7.6,0,0,8,17,19,11.75,1.21666666666666e+16
0,7.6,0,0,2,10,12,10.0,13.0
0,12.7,1,0,5,8,10,11.0,1.06666666666666e+16
1,7.6,0,0,7,16,12,1.15555555555555e+16,13.2
0,8.9,1,1,5,9,10,12.0,1.13333333333333e+16
1,9.4,0,0,2,6,6,12.5,10.25
0,9.4,1,0,0,11,0,0.0,0.0
0,12.7,1,0,1,6,5,11.0,0.0
1,12.4,0,0,5,7,12,11.6,11.0
0,7.6,1,0,3,12,10,1.13333333333333e+16,1.13333333333333e+16
0,11.1,1,0,2,12,5,10.5,0.0
1,8.9,0,0,0,3,0,0.0,0.0
1,16.2,1,0,0,6,5,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
0,12.7,1,0,4,9,6,12.6,11.5
0,9.4,0,0,0,0,0,0.0,0.0
1,10.8,0,0,5,10,12,11.0,0.0
0,12.7,1,0,0,0,0,0.0,0.0
0,8.9,1,0,0,0,0,0.0,0.0
1,10.8,1,0,3,13,12,1.26666666666666e+16,10.0
0,12.7,1,0,7,8,8,1.34142857142857e+16,1.34142857142857e+16
0,12.7,1,0,0,0,0,0.0,0.0
0,9.4,0,0,0,5,0,0.0,0.0
0,16.2,1,1,5,13,12,12.74,1.09785714285714e+16
1,7.6,0,0,5,8,8,13.0,11.4
0,7.6,0,0,2,8,8,10.5,1.23333333333333e+16
1,10.8,1,0,5,6,9,11.8,1.37142857142857e+16
0,16.2,1,0,3,10,9,1.06666666666666e+16,0.0
0,7.6,1,0,0,5,5,0.0,0.0
0,12.7,1,0,5,9,9,11.6,11.0
0,12.7,1,0,0,0,0,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
0,10.8,1,0,0,8,12,0.0,0.0
0,7.6,1,1,0,7,7,0.0,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,15.5,1,0,7,8,8,1292875.0,140625.0
0,12.4,1,0,0,7,6,0.0,0.0
0,12.7,1,0,5,9,8,13.6,12.0
0,10.8,1,0,9,10,11,1.14444444444444e+16,10.8
0,11.1,1,0,6,11,9,11875.0,1.28333333333333e+16
0,7.6,0,0,0,10,10,0.0,0.0
0,12.4,1,0,2,2,0,12.5,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,10.8,1,0,6,7,10,11.5,1.05714285714285e+16
0,13.9,1,0,5,13,14,11.4,11.75
1,12.7,0,0,2,6,5,11.5,11.0
0,12.7,1,0,1,9,0,10.0,0.0
0,10.8,0,0,1,9,10,12.0,0.0
0,9.4,1,0,4,12,6,13.0,14.0
0,15.5,1,0,0,6,5,0.0,0.0
0,10.8,0,0,0,5,10,0.0,0.0
0,12.7,0,0,0,4,0,0.0,0.0
1,9.4,0,0,0,5,4,0.0,0.0
1,9.4,0,0,0,0,0,0.0,0.0
0,10.8,1,0,5,10,9,12.8,1.16666666666666e+16
0,9.4,1,0,1,11,11,10.0,11.0
0,7.6,1,0,4,11,10,11.25,10.2
0,16.2,1,0,4,8,8,12.0,0.0
0,16.2,1,0,1,12,9,12.0,11.0
1,10.8,0,0,0,5,9,0.0,0.0
1,16.2,1,0,5,11,9,13625.0,11.75
0,13.9,1,0,0,0,0,0.0,0.0
1,16.2,0,0,0,11,12,0.0,0.0
0,8.9,1,0,1,10,0,14.0,0.0
0,10.8,1,0,4,9,6,12.5,1.13333333333333e+16
0,12.4,1,0,3,12,10,12.0,12.0
1,12.7,0,0,4,10,9,13.0,13.75
1,15.5,1,0,9,12,11,1177777777777770.0,1.36666666666666e+16
0,11.1,1,0,2,10,10,11.0,0.0
0,11.1,1,0,0,14,5,0.0,0.0
0,15.5,1,0,14,16,13,1.24285714285714e+16,1.08571428571428e+16
0,12.4,1,0,1,13,8,10.0,1.13333333333333e+16
0,16.2,1,0,0,4,5,0.0,0.0
0,7.6,1,0,3,9,10,1.16666666666666e+16,1.13333333333333e+16
0,7.6,1,0,0,9,5,0.0,12.0
0,12.4,1,0,3,10,11,10.5,10.8
0,9.4,0,0,0,12,8,0.0,0.0
0,7.6,1,0,0,12,0,0.0,0.0
0,10.8,1,0,11,15,16,1.14545454545454e+16,1.15454545454545e+16
0,7.6,0,1,4,10,14,12.0,10.0
1,8.9,0,0,6,8,9,1.26666666666666e+16,12.6
0,12.4,1,0,0,0,0,0.0,0.0
1,10.8,0,0,4,6,8,13.0,11.6
0,9.4,0,0,0,0,0,0.0,0.0
1,7.6,1,1,0,7,5,0.0,0.0
0,12.4,1,0,0,0,0,0.0,0.0
0,13.9,1,0,2,15,11,10.75,10.0
0,9.4,1,0,4,11,10,13.25,10.25
0,11.1,1,1,6,6,8,1.33333333333333e+16,1.26666666666666e+16
0,12.7,1,0,5,8,9,12.0,10.8
0,12.7,1,1,6,6,6,1.26666666666666e+16,1.18333333333333e+16
1,12.7,0,0,4,7,6,13.5,0.0
1,8.9,0,0,0,0,0,0.0,0.0
0,11.1,1,0,0,6,6,0.0,0.0
1,10.8,0,0,5,9,9,12.2,11.75
0,12.4,1,0,0,0,0,0.0,0.0
0,7.6,1,0,9,19,7,1.34444444444444e+16,1.47142857142857e+16
0,7.6,1,0,2,11,15,10.0,11.0
1,10.8,0,0,1,7,12,15.0,0.0
1,12.7,0,1,5,8,6,14.4,14.0
0,13.9,0,0,0,0,0,0.0,0.0
0,12.4,0,0,3,3,2,1.23333333333333e+16,11.0
1,10.8,0,0,0,5,9,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
1,16.2,0,0,3,18,7,11.25,0.0
1,13.9,1,0,4,15,6,1.33333333333333e+16,13.5
0,13.9,1,0,3,10,11,1.73333333333333e+16,17.0
0,8.9,1,0,3,9,8,14.0,1.36666666666666e+16
0,11.1,1,0,4,4,1,13875.0,12.5
0,7.6,1,0,0,5,5,0.0,0.0
0,16.2,1,1,5,8,11,13.0,1.33333333333333e+16
1,12.4,0,0,0,6,6,0.0,0.0
0,7.6,1,0,0,5,5,0.0,0.0
1,15.5,0,0,0,5,5,0.0,0.0
0,7.6,1,0,0,5,5,0.0,0.0
1,12.7,0,0,3,11,6,1.43333333333333e+16,0.0
1,16.2,1,0,6,18,11,1.26666666666666e+16,12.0
0,10.8,0,0,1,6,0,11.0,0.0
0,10.8,0,0,0,9,9,0.0,0.0
0,11.1,1,0,0,5,5,0.0,0.0
1,13.9,0,1,5,11,15,1.21666666666666e+16,12.0
0,16.2,1,0,0,9,6,0.0,0.0
0,7.6,1,0,2,17,15,10.0,1.13333333333333e+16
0,8.9,1,0,6,7,7,1.38333333333333e+16,13.0
0,12.4,1,0,0,0,0,0.0,0.0
0,12.4,1,0,5,8,9,14.2,12.4
0,12.7,1,0,4,8,9,11.5,1.03333333333333e+16
0,15.5,0,0,0,6,8,0.0,0.0
1,8.9,0,0,3,12,13,1.13333333333333e+16,11.0
0,7.6,1,0,0,5,5,0.0,0.0
1,10.8,0,0,0,5,6,0.0,0.0
1,15.5,0,0,0,0,0,0.0,0.0
1,8.9,0,0,4,6,7,11.25,1.23333333333333e+16
0,7.6,0,0,12,24,21,11.0,1.13636363636363e+16
0,12.4,1,0,0,0,0,0.0,0.0
1,13.9,1,0,6,9,12,12.0,12.0
0,8.9,1,0,8,12,13,13875.0,12.7
1,15.5,1,0,2,10,10,1.16666666666666e+16,10.5
1,7.6,1,1,5,5,5,14.4,14.0
0,15.5,0,0,2,15,9,11.5,0.0
1,11.1,0,0,0,0,0,0.0,0.0
0,8.9,1,0,0,4,0,0.0,0.0
1,12.4,0,1,0,0,0,0.0,0.0
0,11.1,1,0,7,8,9,1.15714285714285e+16,1.31666666666666e+16
0,15.5,1,0,0,0,0,0.0,0.0
0,13.9,1,0,6,8,10,1.16666666666666e+16,11.0
0,7.6,1,0,0,12,10,0.0,0.0
0,16.2,1,0,2,11,12,12.0,10.0
0,7.6,1,0,0,6,5,0.0,0.0
0,8.9,1,0,3,10,9,1.33333333333333e+16,10.75
0,12.7,0,0,0,5,5,0.0,0.0
1,8.9,0,0,0,14,5,0.0,0.0
1,9.4,0,0,0,11,6,0.0,0.0
1,9.4,0,1,0,0,0,0.0,0.0
0,16.2,1,0,5,6,9,11.8,0.0
0,10.8,1,0,6,6,6,1.26666666666666e+16,1.38333333333333e+16
0,11.1,1,0,0,6,6,0.0,0.0
0,7.6,1,0,0,7,5,0.0,0.0
0,7.6,1,0,4,11,13,10.75,10.0
0,13.9,1,0,5,7,9,12.6,13.25
1,9.4,0,0,0,5,5,0.0,0.0
0,12.4,1,0,2,7,10,12.0,1.21428571428571e+16
1,13.9,0,0,3,7,9,14.0,14.5
0,12.4,0,0,6,6,11,14.0,13.5
0,10.8,1,0,0,3,0,0.0,0.0
0,12.4,1,1,0,6,7,0.0,0.0
0,9.4,1,0,1,14,9,18.0,13.0
0,15.5,1,1,4,8,7,11.5,11.0
0,15.5,1,1,2,7,7,10.0,0.0
0,16.2,1,0,5,8,10,12.2,1.21428571428571e+16
1,16.2,0,0,1,15,10,11.0,0.0
1,16.2,0,0,3,8,14,13.0,1.14285714285714e+16
0,16.2,0,0,0,0,0,0.0,0.0
0,9.4,0,0,0,9,10,0.0,0.0
0,15.5,0,0,3,12,10,1.13333333333333e+16,13.0
0,10.8,1,0,2,7,11,10.0,14.0
0,12.7,1,0,1,12,5,10.0,0.0
0,16.2,1,0,0,7,6,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
0,12.7,0,0,5,6,9,10.6,11.0
0,13.9,1,0,0,0,0,0.0,0.0
0,7.6,1,0,0,10,5,0.0,0.0
0,9.4,1,0,0,0,0,0.0,0.0
0,9.4,1,0,4,8,8,11.75,12.25
0,16.2,0,1,3,14,9,11.5,10.5
0,10.8,1,0,1,8,12,14.0,0.0
0,7.6,1,0,0,10,0,0.0,0.0
0,7.6,1,0,3,8,9,11.0,11.5
0,13.9,1,0,1,15,10,10.75,10.0
0,9.4,0,0,5,8,9,11.4,11.0
0,15.5,1,0,0,0,0,0.0,0.0
0,7.6,0,1,0,8,8,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
1,12.4,0,0,0,9,11,0.0,0.0
0,9.4,1,0,0,0,0,0.0,0.0
0,7.6,1,0,4,14,11,11.25,12.0
0,7.6,1,0,3,6,5,1.33333333333333e+16,11.0
0,7.6,0,0,0,5,4,0.0,0.0
0,7.6,0,0,3,7,8,1.16666666666666e+16,11.5
